period,timestep,profile_name,value
1,22,cool,0.0
1,22,elec,0.5577536515349328
1,22,solar,0.0
1,22,transport_truck_bus_van_car_rail_aviation_maritime,0.5224884085826531
1,22,wind,0.1179104580691387
1,23,DHW_or_space,0.3859790615170342
1,23,RoR,0.1022362771482342
1,23,cool,0.0
1,23,elec,0.609326440883066
1,23,solar,0.0
1,23,transport_truck_bus_van_car_rail_aviation_maritime,0.5267064080946503
1,23,wind,0.0623434316508617
1,24,DHW_or_space,0.3602833989830271
1,24,RoR,0.1022362771482342
1,24,cool,0.0
1,24,elec,0.6811140312325679
1,24,solar,0.0
1,24,transport_truck_bus_van_car_rail_aviation_maritime,0.5455401729291154
1,24,wind,0.0409837690337362
2,1,DHW_or_space,0.4159926081946744
2,1,RoR,0.0708056826621307
2,1,cool,0.0
2,1,elec,0.7157934790177238
2,1,solar,0.0
2,1,transport_truck_bus_van_car_rail_aviation_maritime,0.5348865033709619
2,1,wind,0.0629937775275446
2,2,DHW_or_space,0.4168181323630917
2,2,RoR,0.0708056826621307
2,2,cool,0.0
2,2,elec,0.7119709132420513
2,2,solar,0.0
2,2,transport_truck_bus_van_car_rail_aviation_maritime,0.5264013507482158
2,2,wind,0.0847899861915061
2,3,DHW_or_space,0.4378746660974853
2,3,RoR,0.0708056826621307
2,3,cool,0.0
2,3,elec,0.7030836127013614
2,3,solar,0.0
2,3,transport_truck_bus_van_car_rail_aviation_maritime,0.5244147491427243
2,3,wind,0.1042630309789415
2,4,DHW_or_space,0.504128162131905
2,4,RoR,0.0708056826621307
2,4,cool,0.0
2,4,elec,0.6988976439629596
2,4,solar,0.0
2,4,transport_truck_bus_van_car_rail_aviation_maritime,0.5243540268397658
2,4,wind,0.1139397901501993
2,5,DHW_or_space,0.6875796422594892
2,5,RoR,0.0708056826621307
2,5,cool,0.0
2,5,elec,0.7006285868592659
2,5,solar,0.0
2,5,transport_truck_bus_van_car_rail_aviation_maritime,0.5243540268397658
2,5,wind,0.0974940469295027
2,6,DHW_or_space,0.9271459795403288
2,6,RoR,0.0708056826621307
2,6,cool,0.0
2,6,elec,0.7200068477750607
2,6,solar,0.0
2,6,transport_truck_bus_van_car_rail_aviation_maritime,0.5758048654418202
2,6,wind,0.087074394385367
2,7,DHW_or_space,0.995681398295268
2,7,RoR,0.0708056826621307
2,7,cool,0.0
2,7,elec,0.5563269286590238
2,7,solar,0.0
2,7,transport_truck_bus_van_car_rail_aviation_maritime,0.5295173039479772
2,7,wind,0.0900769688245258
2,8,DHW_or_space,0.9244901647515738
2,8,RoR,0.0708056826621307
2,8,cool,0.0
2,8,elec,0.3993364355460426
2,8,solar,0.0
2,8,transport_truck_bus_van_car_rail_aviation_maritime,0.5548263095323313
2,8,wind,0.1002558245976651
2,9,DHW_or_space,0.8773526234133555
2,9,RoR,0.0708056826621307
2,9,cool,0.0
2,9,elec,0.3251629031262193
2,9,solar,0.0025934221383944
2,9,transport_truck_bus_van_car_rail_aviation_maritime,0.5102567499489974
2,9,wind,0.1076723767702296
2,10,DHW_or_space,0.7945576532522652
2,10,RoR,0.0708056826621307
2,10,cool,0.0
2,10,elec,0.3587531152337289
2,10,solar,0.3488539104240278
2,10,transport_truck_bus_van_car_rail_aviation_maritime,0.5619802399133359
2,10,wind,0.1043079635993873
2,11,DHW_or_space,0.7377848184855771
2,11,RoR,0.0708056826621307
2,11,cool,0.0
2,11,elec,0.3839884781869824
2,11,solar,0.5911129609871013
2,11,transport_truck_bus_van_car_rail_aviation_maritime,0.5488288843132975
2,11,wind,0.0826068435155924
2,12,DHW_or_space,0.6877418309907233
2,12,RoR,0.0708056826621307
2,12,cool,0.0
2,12,elec,0.276190596496366
2,12,solar,0.7276617828520257
2,12,transport_truck_bus_van_car_rail_aviation_maritime,0.5396293220105481
2,12,wind,0.1028122408831346
2,13,DHW_or_space,0.6076408989581786
2,13,RoR,0.0708056826621307
2,13,cool,0.0
2,13,elec,0.2852575105300349
2,13,solar,0.7630654752934474
2,13,transport_truck_bus_van_car_rail_aviation_maritime,0.520692369321827
2,13,wind,0.1376710287224146
2,14,DHW_or_space,0.5405657783266794
2,14,RoR,0.0708056826621307
2,14,cool,0.0
2,14,elec,0.3212223379770151
2,14,solar,0.6944041772423731
2,14,transport_truck_bus_van_car_rail_aviation_maritime,0.5629578632976698
2,14,wind,0.1723188733752667
2,15,DHW_or_space,0.5399276881708337
2,15,RoR,0.0708056826621307
2,15,cool,0.0
2,15,elec,0.3697674182124416
2,15,solar,0.5196828163747604
2,15,transport_truck_bus_van_car_rail_aviation_maritime,0.5605987143965092
2,15,wind,0.2106830242719192
2,16,DHW_or_space,0.5823015407222436
2,16,RoR,0.0708056826621307
2,16,cool,0.0
2,16,elec,0.2737348111146365
2,16,solar,0.2258308692750684
2,16,transport_truck_bus_van_car_rail_aviation_maritime,0.5411536186259401
2,16,wind,0.277710987129465
2,17,DHW_or_space,0.695653891654151
2,17,RoR,0.0708056826621307
2,17,cool,0.0
2,17,elec,0.3324388448348814
2,17,solar,0.0
2,17,transport_truck_bus_van_car_rail_aviation_maritime,0.527664898790093
2,17,wind,0.3786952391906011
2,18,DHW_or_space,0.7773923273483845
2,18,RoR,0.0708056826621307
2,18,cool,0.0
2,18,elec,0.3718336807848592
2,18,solar,0.0
2,18,transport_truck_bus_van_car_rail_aviation_maritime,0.5322304775715059
2,18,wind,0.4144672145498371
2,19,DHW_or_space,0.7212100202820193
2,19,RoR,0.0708056826621307
2,19,cool,0.0
2,19,elec,0.542622845577394
2,19,solar,0.0
2,19,transport_truck_bus_van_car_rail_aviation_maritime,0.5635490142886558
2,19,wind,0.4213016702644596
2,20,DHW_or_space,0.6707806076660305
2,20,RoR,0.0708056826621307
2,20,cool,0.0
2,20,elec,0.5847627403372151
2,20,solar,0.0
2,20,transport_truck_bus_van_car_rail_aviation_maritime,0.5370637433214159
2,20,wind,0.4418312634432823
2,21,DHW_or_space,0.6155929353699828
2,21,RoR,0.0708056826621307
2,21,cool,0.0
2,21,elec,0.6492446734812017
2,21,solar,0.0
2,21,transport_truck_bus_van_car_rail_aviation_maritime,0.5470374749782471
2,21,wind,0.4545404243416467
2,22,DHW_or_space,0.522106659958991
2,22,RoR,0.0708056826621307
2,22,cool,0.0
2,22,elec,0.712581131587433
2,22,solar,0.0
2,22,transport_truck_bus_van_car_rail_aviation_maritime,0.5462237562235802
2,22,wind,0.4552836941714094
2,23,DHW_or_space,0.4386899886668359
2,23,RoR,0.0708056826621307
2,23,cool,0.0
2,23,elec,0.7256745845460482
2,23,solar,0.0
2,23,transport_truck_bus_van_car_rail_aviation_maritime,0.5367928352988902
2,23,wind,0.5493512748255669
2,24,DHW_or_space,0.4059468940128176
2,24,RoR,0.0708056826621307
2,24,cool,0.0
2,24,elec,0.7093035187716045
2,24,solar,0.0
2,24,transport_truck_bus_van_car_rail_aviation_maritime,0.5341098150599526
2,24,wind,0.6088730832358628
3,1,DHW_or_space,0.0106882825651671
3,1,RoR,0.5669805067759118
3,1,cool,0.0
3,1,elec,0.6723626170705267
3,1,solar,0.0
3,1,transport_truck_bus_van_car_rail_aviation_maritime,0.4632250826404112
3,1,wind,0.1634794830305831
3,2,DHW_or_space,0.0059859861911849
3,2,RoR,0.5669805067759118
3,2,cool,0.0
3,2,elec,0.6687545363579744
3,2,solar,0.0
3,2,transport_truck_bus_van_car_rail_aviation_maritime,0.459557474317763
3,2,wind,0.1536178572323249
3,3,DHW_or_space,0.0222234804238878
3,3,RoR,0.5669805067759118
3,3,cool,0.0
3,3,elec,0.67075420918003
3,3,solar,0.0
3,3,transport_truck_bus_van_car_rail_aviation_maritime,0.4598310735949449
3,3,wind,0.1477893206101978
3,4,DHW_or_space,0.0938741973909805
3,4,RoR,0.5669805067759118
3,4,cool,0.0
3,4,elec,0.6762618315945718
3,4,solar,0.0
3,4,transport_truck_bus_van_car_rail_aviation_maritime,0.4594968062436789
3,4,wind,0.1615870204309517
3,5,DHW_or_space,0.278914842941717
3,5,RoR,0.5669805067759118
3,5,cool,0.0
3,5,elec,0.6802530129036122
3,5,solar,0.0
3,5,transport_truck_bus_van_car_rail_aviation_maritime,0.4576786754348673
3,5,wind,0.1856219337621343
3,6,DHW_or_space,0.5217243866222586
3,6,RoR,0.5669805067759118
3,6,cool,0.0
3,6,elec,0.6827381496315007
3,6,solar,0.0
3,6,transport_truck_bus_van_car_rail_aviation_maritime,0.5079304457185444
3,6,wind,0.204469193716547
3,7,DHW_or_space,0.5588325924920022
3,7,RoR,0.5669805067759118
3,7,cool,0.0
3,7,elec,0.5032119942136667
3,7,solar,0.058069427273535
3,7,transport_truck_bus_van_car_rail_aviation_maritime,0.4610593657974524
3,7,wind,0.2074301475254257
3,8,DHW_or_space,0.4491046729075481
3,8,RoR,0.5669805067759118
3,8,cool,0.0028812443373982
3,8,elec,0.3356915209904675
3,8,solar,0.2244563259081622
3,8,transport_truck_bus_van_car_rail_aviation_maritime,0.4857920261087068
3,8,wind,0.186218357726217
3,9,DHW_or_space,0.3887598307885298
3,9,RoR,0.5669805067759118
3,9,cool,0.0813540478976782
3,9,elec,0.2492391514307075
3,9,solar,0.4280193224261865
3,9,transport_truck_bus_van_car_rail_aviation_maritime,0.4407326688147776
3,9,wind,0.1585721986867467
3,10,DHW_or_space,0.3678131213911219
3,10,RoR,0.5669805067759118
3,10,cool,0.1543206035347304
3,10,elec,0.2821960312188779
3,10,solar,0.612005829008761
3,10,transport_truck_bus_van_car_rail_aviation_maritime,0.4923231917547286
3,10,wind,0.1634288302031358
3,11,DHW_or_space,0.3704806121577703
3,11,RoR,0.5669805067759118
3,11,cool,0.2139436581614666
3,11,elec,0.3014811387776306
3,11,solar,0.7774413166341824
3,11,transport_truck_bus_van_car_rail_aviation_maritime,0.4791687175624827
3,11,wind,0.1547573244046618
3,12,DHW_or_space,0.3576577574756265
3,12,RoR,0.5669805067759118
3,12,cool,0.2481224753641566
3,12,elec,0.1922736843397088
3,12,solar,0.8676314980051258
3,12,transport_truck_bus_van_car_rail_aviation_maritime,0.4699691552597333
3,12,wind,0.174193778136519
3,13,DHW_or_space,0.2983106945947075
3,13,RoR,0.5669805067759118
3,13,cool,0.2641466649320327
3,13,elec,0.1969211205810824
3,13,solar,0.8786133518187647
3,13,transport_truck_bus_van_car_rail_aviation_maritime,0.4510322025710122
3,13,wind,0.1748206854200324
3,14,DHW_or_space,0.2458510969864715
3,14,RoR,0.5669805067759118
3,14,cool,0.2986909312187867
3,14,elec,0.2318283951180445
3,14,solar,0.8418176643201395
3,14,transport_truck_bus_van_car_rail_aviation_maritime,0.493297696546855
3,14,wind,0.1766967001754814
3,15,DHW_or_space,0.2449619333975887
3,15,RoR,0.5669805067759118
3,15,cool,0.3195971659803969
3,15,elec,0.279855046084402
3,15,solar,0.7258869526841947
3,15,transport_truck_bus_van_car_rail_aviation_maritime,0.4909385476456944
3,15,wind,0.1835486099260331
3,16,DHW_or_space,0.2590398298203085
3,16,RoR,0.5669805067759118
3,16,cool,0.2955154689631717
3,16,elec,0.1865290988964485
3,16,solar,0.5526359519050418
3,16,transport_truck_bus_van_car_rail_aviation_maritime,0.4714934518751253
3,16,wind,0.2078972031883129
3,17,DHW_or_space,0.3208361721797385
3,17,RoR,0.5669805067759118
3,17,cool,0.2371713970269523
3,17,elec,0.2283297583557331
3,17,solar,0.3267656228847986
3,17,transport_truck_bus_van_car_rail_aviation_maritime,0.4580047320392782
3,17,wind,0.2259326712397874
3,18,DHW_or_space,0.3633673034467079
3,18,RoR,0.5669805067759118
3,18,cool,0.1294941672859394
3,18,elec,0.2649985025107813
3,18,solar,0.1117358914771292
3,18,transport_truck_bus_van_car_rail_aviation_maritime,0.462570310820691
3,18,wind,0.2358867919409992
3,19,DHW_or_space,0.3069446216775245
3,19,RoR,0.5669805067759118
3,19,cool,0.0224147871823308
3,19,elec,0.4609254262450844
3,19,solar,0.0092538790633001
3,19,transport_truck_bus_van_car_rail_aviation_maritime,0.4938888475378409
3,19,wind,0.2452438672474621
3,20,DHW_or_space,0.2805912604973311
3,20,RoR,0.5669805067759118
3,20,cool,0.0
3,20,elec,0.5312704505249813
3,20,solar,0.0
3,20,transport_truck_bus_van_car_rail_aviation_maritime,0.4674035765706011
3,20,wind,0.2510609330068677
3,21,DHW_or_space,0.2356584965305716
3,21,RoR,0.5669805067759118
3,21,cool,0.0
3,21,elec,0.6170294057910267
3,21,solar,0.0
3,21,transport_truck_bus_van_car_rail_aviation_maritime,0.4773773082274322
3,21,wind,0.2362820315329697
3,22,DHW_or_space,0.1524372400194984
3,22,RoR,0.5669805067759118
3,22,cool,0.0
3,22,elec,0.6749514210776
3,22,solar,0.0
3,22,transport_truck_bus_van_car_rail_aviation_maritime,0.4765635894727654
3,22,wind,0.2082432860921464
3,23,DHW_or_space,0.0800609030317866
3,23,RoR,0.5669805067759118
