profile_name,timestep,value
DHW_or_space,1,0.3291103536482719
DHW_or_space,2,0.32531422250524283
DHW_or_space,3,0.34304927876070196
DHW_or_space,4,0.4084035376401245
DHW_or_space,5,0.5894642361379999
DHW_or_space,6,0.8252659307780776
DHW_or_space,7,0.8911329309681799
DHW_or_space,8,0.8163869962019584
DHW_or_space,9,0.7676919562498283
DHW_or_space,10,0.7285033306259744
DHW_or_space,11,0.7111026166579884
DHW_or_space,12,0.6697868288508365
DHW_or_space,13,0.58940013409429
DHW_or_space,14,0.530637049473641
DHW_or_space,15,0.5374782903063742
DHW_or_space,16,0.5732130152751717
DHW_or_space,17,0.664662108464553
DHW_or_space,18,0.7152386256615559
DHW_or_space,19,0.6540195057007854
DHW_or_space,20,0.6002449017938326
DHW_or_space,21,0.5447632231453278
DHW_or_space,22,0.4508555043217013
DHW_or_space,23,0.3693706302236958
DHW_or_space,24,0.3409403430100817
DHW_or_space,25,0.3136439102392384
DHW_or_space,26,0.3101985707283385
DHW_or_space,27,0.326586832318629
DHW_or_space,28,0.39086442435236385
DHW_or_space,29,0.5700428923076135
DHW_or_space,30,0.8061899291246504
DHW_or_space,31,0.8705046149922303
DHW_or_space,32,0.7956766045168958
DHW_or_space,33,0.7464377077512147
DHW_or_space,34,0.7006803853207515
DHW_or_space,35,0.674119389740037
DHW_or_space,36,0.6274630232549958
DHW_or_space,37,0.5514011396066756
DHW_or_space,38,0.49128960151403983
DHW_or_space,39,0.5027220967203894
DHW_or_space,40,0.5418037299864971
DHW_or_space,41,0.642019171686169
DHW_or_space,42,0.6988757531874997
DHW_or_space,43,0.6422556823213553
DHW_or_space,44,0.5936872282542064
DHW_or_space,45,0.5407081118814738
DHW_or_space,46,0.45204623914175024
DHW_or_space,47,0.3746848001475835
DHW_or_space,48,0.34978519399880265
DHW_or_space,49,0.3295445075795654
DHW_or_space,50,0.3320560468558358
DHW_or_space,51,0.3557911495164261
DHW_or_space,52,0.4263254502560356
DHW_or_space,53,0.609352934344116
DHW_or_space,54,0.8497739055437529
DHW_or_space,55,0.9163198255341363
DHW_or_space,56,0.8423017753213393
DHW_or_space,57,0.7957110741015865
DHW_or_space,58,0.7412864165752484
DHW_or_space,59,0.7006522355955174
DHW_or_space,60,0.6504142767965744
DHW_or_space,61,0.5694579616466799
DHW_or_space,62,0.5049924339459987
DHW_or_space,63,0.5122234704048438
DHW_or_space,64,0.555078937781592
DHW_or_space,65,0.653831852959268
DHW_or_space,66,0.7170903168518753
DHW_or_space,67,0.6555936583697096
DHW_or_space,68,0.6018036262784113
DHW_or_space,69,0.5431325048367782
DHW_or_space,70,0.4476671317929936
DHW_or_space,71,0.3644477428067101
DHW_or_space,72,0.33403531319097624
DHW_or_space,73,0.3054094137216416
DHW_or_space,74,0.302639408679291
DHW_or_space,75,0.3197425760089957
DHW_or_space,76,0.3840652222548126
DHW_or_space,77,0.5635264980652885
DHW_or_space,78,0.797971741240159
DHW_or_space,79,0.8616852192568298
DHW_or_space,80,0.7851288618592845
DHW_or_space,81,0.7362957665161182
DHW_or_space,82,0.7015043182177191
DHW_or_space,83,0.6820409306887278
DHW_or_space,84,0.6477991526376708
DHW_or_space,85,0.5686568223699111
DHW_or_space,86,0.5116191892467277
DHW_or_space,87,0.5210019651909904
DHW_or_space,88,0.5541191118137225
DHW_or_space,89,0.6367178411292967
DHW_or_space,90,0.6852517000417051
DHW_or_space,91,0.6253208647948647
DHW_or_space,92,0.5725831128325741
DHW_or_space,93,0.5170472636059166
DHW_or_space,94,0.42432909828261495
DHW_or_space,95,0.3434110073527401
DHW_or_space,96,0.3155610071395347
DHW_or_space,97,0.29045949721459524
DHW_or_space,98,0.28967409162522795
DHW_or_space,99,0.30932624171769674
DHW_or_space,100,0.37484024771457397
DHW_or_space,101,0.5557016754900941
DHW_or_space,102,0.7927024554573007
DHW_or_space,103,0.8594307087218459
DHW_or_space,104,0.7858273085338499
DHW_or_space,105,0.7400103220360463
DHW_or_space,106,0.7022541431737891
DHW_or_space,107,0.6744644969093038
DHW_or_space,108,0.6374213738625781
DHW_or_space,109,0.5631012509157313
DHW_or_space,110,0.5105738066912309
DHW_or_space,111,0.520785374080588
DHW_or_space,112,0.5595053804567935
DHW_or_space,113,0.660206430719286
DHW_or_space,114,0.7160651541635312
DHW_or_space,115,0.6598618444844162
DHW_or_space,116,0.6085741582084687
DHW_or_space,117,0.5576860142717347
DHW_or_space,118,0.4696767523079542
DHW_or_space,119,0.3939313574093942
DHW_or_space,120,0.37077171845709644
DHW_or_space,121,0.3509999664156027
DHW_or_space,122,0.35617795873806657
DHW_or_space,123,0.38092194204889
DHW_or_space,124,0.4532792184379249
DHW_or_space,125,0.6395825170225748
DHW_or_space,126,0.8835873868235317
DHW_or_space,127,0.9557857858673455
DHW_or_space,128,0.886173723785008
DHW_or_space,129,0.8442313563130607
DHW_or_space,130,0.7675005816813498
DHW_or_space,131,0.7195687621954239
DHW_or_space,132,0.6764000073725996
DHW_or_space,133,0.600107093698482
DHW_or_space,134,0.5347952524285184
DHW_or_space,135,0.5360830415756608
DHW_or_space,136,0.5824927671173064
DHW_or_space,137,0.7027433833959136
DHW_or_space,138,0.7838768204078058
DHW_or_space,139,0.7321214249770478
DHW_or_space,140,0.6861310210130043
DHW_or_space,141,0.6375872755954648
DHW_or_space,142,0.5498630933359104
DHW_or_space,143,0.4718459616640731
DHW_or_space,144,0.4445698012699485
DHW_or_space,145,0.41620429669392617
DHW_or_space,146,0.41099467786784305
DHW_or_space,147,0.4248865234317282
DHW_or_space,148,0.48678268264884916
DHW_or_space,149,0.6645652422683624
DHW_or_space,150,0.8950704601549495
DHW_or_space,151,0.9532177527057352
DHW_or_space,152,0.871746334877786
DHW_or_space,153,0.816969172201174
DHW_or_space,154,0.7696039768784257
DHW_or_space,155,0.7366827201825551
DHW_or_space,156,0.6904613971680051
DHW_or_space,157,0.5974816023814533
DHW_or_space,158,0.5351661121483864
DHW_or_space,159,0.5347943209785659
DHW_or_space,160,0.5762633199866807
DHW_or_space,161,0.6661520991580431
DHW_or_space,162,0.7246907892996761
DHW_or_space,163,0.6635795534407445
DHW_or_space,164,0.6106282455143389
DHW_or_space,165,0.5559283836308557
DHW_or_space,166,0.4639136715144499
DHW_or_space,167,0.38597906151703426
DHW_or_space,168,0.36028339898302714
DHW_or_space,169,0.33544375983848723
DHW_or_space,170,0.33511142126001014
DHW_or_space,171,0.354460474567907
DHW_or_space,172,0.4223715505350706
DHW_or_space,173,0.6050232799984001
DHW_or_space,174,0.8453579458564527
DHW_or_space,175,0.9128201196122726
DHW_or_space,176,0.8400045892057894
DHW_or_space,177,0.7958182810157914
DHW_or_space,178,0.7492552303418046
DHW_or_space,179,0.7135161267816392
DHW_or_space,180,0.6709128551592496
DHW_or_space,181,0.5912656721569459
DHW_or_space,182,0.530827792657683
DHW_or_space,183,0.5360440092895195
DHW_or_space,184,0.578443351087602
DHW_or_space,185,0.6789358228831643
DHW_or_space,186,0.7549493450161124
DHW_or_space,187,0.6989752582881255
DHW_or_space,188,0.6495603802855339
DHW_or_space,189,0.5987730537823839
DHW_or_space,190,0.5107874168134009
DHW_or_space,191,0.43465184607503965
DHW_or_space,192,0.4089407527020401
DHW_or_space,193,0.3869687233099325
DHW_or_space,194,0.3886955345688864
DHW_or_space,195,0.41282468245907156
DHW_or_space,196,0.4832385937447049
DHW_or_space,197,0.6669120013151559
DHW_or_space,198,0.9064422946557229
DHW_or_space,199,0.9739898095676597
DHW_or_space,200,0.9022459182740924
DHW_or_space,201,0.85645545076166
DHW_or_space,202,0.7826182110707043
DHW_or_space,203,0.736910291458623
DHW_or_space,204,0.6896477076280202
DHW_or_space,205,0.6132268297026112
DHW_or_space,206,0.5449105284501601
DHW_or_space,207,0.5459748415153893
DHW_or_space,208,0.5867194776099092
DHW_or_space,209,0.6990438233991084
DHW_or_space,210,0.7813556413480506
DHW_or_space,211,0.7271033028828535
DHW_or_space,212,0.6773367897640012
DHW_or_space,213,0.6276031425405783
DHW_or_space,214,0.5378795185008297
DHW_or_space,215,0.4632307394324621
DHW_or_space,216,0.43797262016430216
DHW_or_space,217,0.41599260819467443
DHW_or_space,218,0.4168181323630917
DHW_or_space,219,0.4378746660974853
DHW_or_space,220,0.504128162131905
DHW_or_space,221,0.6875796422594892
DHW_or_space,222,0.9271459795403288
DHW_or_space,223,0.9956813982952679
DHW_or_space,224,0.9244901647515738
DHW_or_space,225,0.8773526234133555
DHW_or_space,226,0.7945576532522652
DHW_or_space,227,0.7377848184855771
DHW_or_space,228,0.6877418309907233
DHW_or_space,229,0.6076408989581786
DHW_or_space,230,0.5405657783266794
DHW_or_space,231,0.5399276881708337
DHW_or_space,232,0.5823015407222436
DHW_or_space,233,0.695653891654151
DHW_or_space,234,0.7773923273483845
DHW_or_space,235,0.7212100202820193
DHW_or_space,236,0.6707806076660305
DHW_or_space,237,0.6155929353699828
DHW_or_space,238,0.522106659958991
DHW_or_space,239,0.4386899886668359
DHW_or_space,240,0.40594689401281764
DHW_or_space,241,0.3778948796572935
DHW_or_space,242,0.3753485657231058
DHW_or_space,243,0.3928807762596534
DHW_or_space,244,0.45699665992918914
