,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
98,gas-extraction_NLC5,1.32,1.32,1.32,methane,wy_2009,NLC5,Gas Extractions
99,RoR_BEC3,0.01,0.01,0.01,electricity,wy_2009,BEC3,Run-of-River
100,gas-boiler-existing_NLC3,6.62,5.66,0.0,buildings heat,wy_2009,NLC3,Gas Boiler
101,oil-boiler-existing_NLC4,0.31,0.22,0.0,buildings heat,wy_2009,NLC4,Diesel Boiler
102,coal-boiler-existing_BEC8,0.03,0.02,0.0,buildings heat,wy_2009,BEC8,Coal Boiler
103,gas-boiler_NLC3,0.0,-0.0,5.09,buildings heat,wy_2009,NLC3,Gas Boiler
104,gas-boiler_BEC1,0.0,-0.0,1.66,buildings heat,wy_2009,BEC1,Gas Boiler
105,gas-boiler-existing_NLC7,0.68,0.58,0.0,buildings heat,wy_2009,NLC7,Gas Boiler
106,oil-boiler-existing_NLC5,0.18,0.12,0.0,buildings heat,wy_2009,NLC5,Diesel Boiler
107,oil-boiler-existing_NLC6,0.15,0.11,0.0,buildings heat,wy_2009,NLC6,Diesel Boiler
108,gas-boiler-existing_BEC6,1.55,1.43,0.0,buildings heat,wy_2009,BEC6,Gas Boiler
109,LNG-terminal_BEC7,3.48,3.48,3.48,methane,wy_2009,BEC7,LNG Terminals
110,gas-boiler_BEC2,-0.0,-0.0,4.29,buildings heat,wy_2009,BEC2,Gas Boiler
111,gas-extraction_NLC6,1.32,1.32,1.32,methane,wy_2009,NLC6,Gas Extractions
112,gas-boiler_NLC9,0.0,-0.0,0.94,buildings heat,wy_2009,NLC9,Gas Boiler
113,LNG-terminal_NLC8,3.98,3.98,3.98,methane,wy_2009,NLC8,LNG Terminals
114,gas-boiler-existing_BEC8,1.48,1.36,0.0,buildings heat,wy_2009,BEC8,Gas Boiler
115,other-chemicals-production-reference_BEC4,0.0,0.0,10000000.0,,wy_2009,BEC4,other-chemicals-production-reference
116,ceramics-and-other-non-metalic-minerals-production-reference_BEC1,0.28,0.28,10000000.0,,wy_2009,BEC1,ceramics-and-other-non-metalic-minerals-production-reference
117,wood-and-wood-products_production-reference_BEC5,0.01,0.01,10000000.0,wood,wy_2009,BEC5,wood-and-wood-products_production-reference
118,food-beverages-tobacco-production-reference_NLC4,0.09,0.09,10000000.0,food-beverages-tobacco,wy_2009,NLC4,food-beverages-tobacco-production-reference
119,food-beverages-tobacco-production-reference_BEC2,0.28,0.28,10000000.0,food-beverages-tobacco,wy_2009,BEC2,food-beverages-tobacco-production-reference
120,transport-equipment-production-reference_BEC2,0.01,0.01,10000000.0,transport-equipment,wy_2009,BEC2,transport-equipment-production-reference
121,other-chemicals-production-reference_BEC6,0.0,0.0,10000000.0,,wy_2009,BEC6,other-chemicals-production-reference
122,other-chemicals-production-reference_BEC1,0.06,0.06,10000000.0,,wy_2009,BEC1,other-chemicals-production-reference
123,printing-and-media-production-reference_NLC3,0.01,0.01,10000000.0,printing-and-media,wy_2009,NLC3,printing-and-media-production-reference
124,food-beverages-tobacco-production-reference_BEC1,0.07,0.07,10000000.0,food-beverages-tobacco,wy_2009,BEC1,food-beverages-tobacco-production-reference
125,transport-equipment-production-reference_NLC1,0.01,0.01,10000000.0,transport-equipment,wy_2009,NLC1,transport-equipment-production-reference
126,Diaphragm_BEC3,0.01,0.01,0.01,chemicals,wy_2009,BEC3,Diaphragm
127,machinery-equipment-production-reference_NLC3,0.08,0.08,10000000.0,machinery-equipment,wy_2009,NLC3,machinery-equipment-production-reference
