,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
172,wasteST-existing_BEC2,0.04,0.0,0.0,electricity,wy_2009,BEC2,Waste Steam Turbine
173,gas-boiler-existing_NLC3,2.86,0.96,5.66,buildings heat,wy_2009,NLC3,Gas Boiler
174,electric-heating-existing_BEC3,0.19,0.0,0.0,buildings heat,wy_2009,BEC3,Electric Heater
175,oil-boiler-existing_NLC4,0.0,0.09,0.22,buildings heat,wy_2009,NLC4,Diesel Boiler
176,coal-boiler-existing_BEC8,0.0,0.01,0.02,buildings heat,wy_2009,BEC8,Coal Boiler
177,wind-on-existing_NLC5,0.15,0.0,0.0,electricity,wy_2009,NLC5,Onshore Wind
178,bio-diges-up_NLC3,0.04,0.0,0.0,methane,wy_2009,NLC3,Bio-digestion and Upgrading
179,ground-heatpump-existing_BEC2,0.01,0.0,0.0,buildings heat,wy_2009,BEC2,Ground HP
180,SMR+CC_BEC8,1.95,0.0,0.0,hydrogen,wy_2009,BEC8,Steam Methane Reforming
181,gas-boiler-existing_NLC7,0.3,0.1,0.58,buildings heat,wy_2009,NLC7,Gas Boiler
182,electric-heating-existing_BEC7,0.09,0.0,0.0,buildings heat,wy_2009,BEC7,Electric Heater
183,CCGT-existing_NLC5,0.84,0.0,0.0,electricity,wy_2009,NLC5,Combined-cycle Gas Turbine
184,SCPC-existing_NLC3,0.63,0.0,0.0,electricity,wy_2009,NLC3,Coal Power Plant
185,SCPC-existing_BEC5,0.82,0.0,0.0,electricity,wy_2009,BEC5,Coal Power Plant
186,wasteST-existing_BEC7,0.04,0.0,0.0,electricity,wy_2009,BEC7,Waste Steam Turbine
187,oil-boiler-existing_NLC5,0.0,0.05,0.12,buildings heat,wy_2009,NLC5,Diesel Boiler
188,nuclear-3-existing_BEC1,2.6,0.0,0.0,electricity,wy_2009,BEC1,Nuclear
189,bio-boiler-existing_NLC4,1.13,0.0,0.0,buildings heat,wy_2009,NLC4,Biomass Boiler
190,air-heatpump-existing_BEC1,0.01,0.0,0.0,buildings heat,wy_2009,BEC1,Air HP
191,wind-on-existing_NLC6,1.03,0.0,0.0,electricity,wy_2009,NLC6,Onshore Wind
192,oil-boiler-existing_NLC6,0.0,0.05,0.11,buildings heat,wy_2009,NLC6,Diesel Boiler
193,gas-boiler-existing_BEC6,0.5,0.12,1.43,buildings heat,wy_2009,BEC6,Gas Boiler
194,SCPC-existing_BEC3,0.22,0.0,0.0,electricity,wy_2009,BEC3,Coal Power Plant
195,wind-on-existing_BEC4,0.36,0.0,0.0,electricity,wy_2009,BEC4,Onshore Wind
196,air-heatpump-existing_BEC6,0.01,0.0,0.0,buildings heat,wy_2009,BEC6,Air HP
197,ground-heatpump-existing_NLC7,0.0,0.0,0.0,buildings heat,wy_2009,NLC7,Ground HP
198,wasteST-existing_BEC6,0.03,0.0,0.0,electricity,wy_2009,BEC6,Waste Steam Turbine
199,gas-boiler-existing_BEC8,0.48,0.12,1.36,buildings heat,wy_2009,BEC8,Gas Boiler
200,Diaphragm_BEC3,0.0,0.0,0.01,chemicals,wy_2009,BEC3,Diaphragm
201,BF-BOF_BEC4,0.61,0.0,0.0,steel,wy_2009,BEC4,BF-BOF
202,EU-mix-2018_NLC6,-0.0,-0.0,0.07,cement,wy_2009,NLC6,EU-mix-2018
203,EU-mix-2018_BEC7,-0.0,-0.0,0.37,cement,wy_2009,BEC7,EU-mix-2018
204,REF-SMR_NLC7,7.21,0.0,0.0,hydrocarbons,wy_2009,NLC7,Refinery
205,Diaphragm_BEC1,0.0,0.0,0.04,chemicals,wy_2009,BEC1,Diaphragm
206,REF-SMR_NLC6,45.14,0.0,0.0,hydrocarbons,wy_2009,NLC6,Refinery
207,REF-SMR_BEC1,28.04,0.0,0.0,hydrocarbons,wy_2009,BEC1,Refinery
208,Diaphragm_NLC1,0.0,0.0,0.01,chemicals,wy_2009,NLC1,Diaphragm
209,Diaphragm_NLC6,0.0,0.0,0.06,chemicals,wy_2009,NLC6,Diaphragm
210,(LN)O_BEC1,0.04,-0.0,-0.0,chemicals,wy_2009,BEC1,(LN)O
211,Diaphragm_BEC5,0.0,0.0,0.03,chemicals,wy_2009,BEC5,Diaphragm
212,BF-BOF_NLC5,0.8,0.0,0.0,steel,wy_2009,NLC5,BF-BOF
213,EU_total,0.5,0.0,0.0,buildings heat,wy_2009,Europe,Air HP
214,EU_total,10.53,0.0,0.0,buildings heat,wy_2009,Europe,Biomass Boiler
215,EU_total,0.0,0.09,0.22,buildings heat,wy_2009,Europe,Coal Boiler
216,EU_total,0.0,3.07,7.42,buildings heat,wy_2009,Europe,Diesel Boiler
217,EU_total,3.3,0.0,0.0,buildings heat,wy_2009,Europe,Electric Heater
218,EU_total,18.64,5.81,40.31,buildings heat,wy_2009,Europe,Gas Boiler
219,EU_total,0.23,0.0,0.0,buildings heat,wy_2009,Europe,Ground HP
220,EU_total,0.0,0.0,0.44,cement,wy_2009,Europe,EU-mix-2018
221,EU_total,0.04,0.0,0.0,chemicals,wy_2009,Europe,(LN)O
222,EU_total,0.0,0.0,0.15,chemicals,wy_2009,Europe,Diaphragm
223,EU_total,0.22,0.0,0.0,electricity,wy_2009,Europe,Biomass Steam Turbine
224,EU_total,7.78,0.0,0.0,electricity,wy_2009,Europe,Coal Power Plant
225,EU_total,10.51,0.0,0.0,electricity,wy_2009,Europe,Combined-cycle Gas Turbine
226,EU_total,0.0,0.03,0.08,electricity,wy_2009,Europe,Diesel Group
227,EU_total,5.76,0.0,0.0,electricity,wy_2009,Europe,Nuclear
228,EU_total,7.6,0.0,0.0,electricity,wy_2009,Europe,Offshore Wind
229,EU_total,9.34,0.0,0.0,electricity,wy_2009,Europe,Onshore Wind
230,EU_total,45.1,0.0,0.0,electricity,wy_2009,Europe,Solar
231,EU_total,0.2,0.0,0.0,electricity,wy_2009,Europe,Waste Steam Turbine
232,EU_total,80.39,0.0,0.0,hydrocarbons,wy_2009,Europe,Refinery
233,EU_total,6.25,0.0,0.0,hydrogen,wy_2009,Europe,Steam Methane Reforming
234,EU_total,0.35,0.0,0.0,methane,wy_2009,Europe,Bio-digestion and Upgrading
235,EU_total,1.41,0.0,0.0,steel,wy_2009,Europe,BF-BOF
