,source,target,y2030,y2040,y2050,polygon,technology,scenario
226,methane,industry,0.0008006355896766855,0.0008006355896766855,0.0008006355896766855,NLC1,Diaphragm_NLC1,wy_2009
227,electricity,industry,0.0004618827630396649,0.0004618827630396649,0.0004618827630396649,NLC9,(NG)PE_NLC9,wy_2009
228,electricity,industry,0.0022612397753030452,0.0022612397753030452,0.0022612397753030452,BEC3,Diaphragm_BEC3,wy_2009
229,biomass,industry,0.0004777283923857883,0.0004777283923857883,0.0004777283923857883,BEC7,food-beverages-tobacco-production-reference_BEC7,wy_2009
230,methane,industry,0.00104571477240172,0.00104571477240172,0.00104571477240172,BEC6,pulp-production-reference_BEC6,wy_2009
231,electricity,,0.0007995022274847387,0.0007995022274847387,0.0007995022274847387,BEC2,other-industrial-sectors_production-reference_BEC2,wy_2009
232,hydrocarbons,industry,0.0005360174360845845,0.0005360174360845845,0.0005360174360845845,NLC2,food-beverages-tobacco-production-reference_NLC2,wy_2009
233,methane,,0.0024770005665397513,0.0024770005665397513,0.0024770005665397513,NLC6,other-chemicals-production-reference_NLC6,wy_2009
234,waste,industry,0.0008682674304758753,0.0008682674304758753,0.0008682674304758753,BEC6,EU-mix-2018_BEC6,wy_2009
235,biomass,industry,0.000520789812432588,0.000520789812432588,0.000520789812432588,BEC6,EU-mix-2018_BEC6,wy_2009
236,biomass,industry,0.0005956626392431083,0.0005956626392431083,0.0005956626392431083,BEC2,food-beverages-tobacco-production-reference_BEC2,wy_2009
237,methane,,0.00035323125559852826,0.00035323125559852826,0.00035323125559852826,BEC7,other-industrial-sectors_production-reference_BEC7,wy_2009
238,biomass,,0.0006523720021702097,0.0006523720021702097,0.0006523720021702097,BEC1,ceramics-and-other-non-metalic-minerals-production-reference_BEC1,wy_2009
239,electricity,industry,0.0027275006184553853,0.0027275006184553853,0.0027275006184553853,NLC7,food-beverages-tobacco-production-reference_NLC7,wy_2009
240,electricity,industry,0.000702525920142712,0.000702525920142712,0.000702525920142712,NLC4,machinery-equipment-production-reference_NLC4,wy_2009
241,methane,industry,0.0034112681185491955,0.0034112681185491955,0.0034112681185491955,NLC7,food-beverages-tobacco-production-reference_NLC7,wy_2009
242,biomass,industry,0.00034284620814768003,0.00034284620814768003,0.00034284620814768003,BEC6,food-beverages-tobacco-production-reference_BEC6,wy_2009
243,electricity,industry,0.0007333350432020527,0.0007333350432020527,0.0007333350432020527,BEC5,pharmaceuticals-production-reference_BEC5,wy_2009
244,electricity,,0.00039975111374236937,0.00039975111374236937,0.00039975111374236937,BEC3,other-industrial-sectors_production-reference_BEC3,wy_2009
245,electricity,industry,0.0011243076484074189,0.0011243076484074189,0.0011243076484074189,BEC5,machinery-equipment-production-reference_BEC5,wy_2009
246,electricity,industry,0.0016764568075879668,0.0016764568075879672,0.0016764568075879668,NLC6,(LN)O_NLC6,wy_2009
247,electricity,industry,0.00047148385255795156,0.00047148385255795156,0.00047148385255795156,BEC7,machinery-equipment-production-reference_BEC7,wy_2009
248,electricity,industry,0.0018970683417776943,0.0018970683417776943,0.0018970683417776943,BEC3,Scraps_EAF_BEC3,wy_2009
249,methane,industry,0.0030016598618740307,0.0030016598618740307,0.0030016598618740307,NLC3,paper-production-reference_NLC3,wy_2009
250,biomass,industry,0.0017185105581391817,0.0017185105581391817,0.0017185105581391817,NLC8,paper-production-reference_NLC8,wy_2009
251,electricity,industry,0.004409683367943848,0.004409683367943848,0.004409683367943848,NLC1,food-beverages-tobacco-production-reference_NLC1,wy_2009
252,electricity,industry,0.0015552800715075454,0.0015552800715075454,0.0015552800715075454,NLC3,paper-production-reference_NLC3,wy_2009
253,methane,industry,0.0022849039303020425,0.0022849039303020425,0.0022849039303020425,BEC4,food-beverages-tobacco-production-reference_BEC4,wy_2009
254,electricity,industry,0.0015245711666844134,0.0015245711666844134,0.0015245711666844134,BEC1,(NG)PE_BEC1,wy_2009
255,methane,,0.0008423206864272599,0.0008423206864272599,0.0008423206864272599,BEC5,other-industrial-sectors_production-reference_BEC5,wy_2009
